order_item_id,order_id,product_id,quantity,unit_price,total_price
OI000001,ORD00001,P0294,1,1662.28,1662.28
OI000002,ORD00001,P1917,1,956.11,956.11
OI000003,ORD00001,P0571,1,206.8,206.8
OI000004,ORD00001,P1118,1,7493.34,7493.34
OI000005,ORD00001,P0828,1,687.91,687.91
OI000006,ORD00002,P0053,1,7955.61,7955.61
OI000007,ORD00002,P1489,1,6829.22,6829.22
OI000008,ORD00002,P1621,3,9032.56,27097.68
OI000009,ORD00002,P1584,1,3490.41,3490.41
OI000010,ORD00002,P1719,1,3658.76,3658.76
OI000011,ORD00003,P0824,1,7757.71,7757.71
OI000012,ORD00004,P0898,1,12605.35,12605.35
OI000013,ORD00004,P0485,1,1676.49,1676.49
OI000014,ORD00004,P1755,1,4087.28,4087.28
OI000015,ORD00005,P1298,1,4754.12,4754.12
OI000016,ORD00005,P0927,1,17948.68,17948.68
OI000017,ORD00006,P1213,1,5210.52,5210.52
OI000018,ORD00006,P0027,1,20272.28,20272.28
OI000019,ORD00006,P1062,1,1381.78,1381.78
OI000020,ORD00006,P1049,1,2111.82,2111.82
OI000021,ORD00007,P1346,1,8006.48,8006.48
OI000022,ORD00007,P0370,3,15053.41,45160.23
OI000023,ORD00007,P1667,1,2157.54,2157.54
OI000024,ORD00008,P1179,1,159.96,159.96
OI000025,ORD00008,P1999,1,1621.62,1621.62
OI000026,ORD00009,P1339,1,3303.57,3303.57
OI000027,ORD00009,P1328,1,9810.93,9810.93
OI000028,ORD00009,P1289,2,4593.27,9186.54
OI000029,ORD00009,P1367,1,896.67,896.67
OI000030,ORD00010,P1209,2,6367.53,12735.06
OI000031,ORD00010,P1417,1,3747.45,3747.45
OI000032,ORD00011,P0162,1,5384.37,5384.37
OI000033,ORD00011,P0299,2,1828.06,3656.12
OI000034,ORD00011,P1394,1,7440.19,7440.19
OI000035,ORD00011,P0428,1,4935.15,4935.15
OI000036,ORD00012,P0785,1,15779.81,15779.81
OI000037,ORD00012,P0299,1,1796.04,1796.04
OI000038,ORD00012,P1966,1,1250.55,1250.55
OI000039,ORD00013,P0387,1,374.87,374.87
