review_id,customer_id,product_id,rating,review_text,review_date,sentiment
R00001,CUST3630,P0181,5,Good value for money.,2023-12-10,Positive
R00002,CUST1324,P1200,3,It's fine but could be better.,2023-06-04,Neutral
R00003,CUST1212,P1029,5,Very satisfied with the purchase.,2024-11-10,Positive
R00004,CUST4615,P1897,4,Quality is great for the price.,2025-11-01,Positive
R00005,CUST1259,P1364,5,Very satisfied with the purchase.,2024-07-16,Positive
R00006,CUST0632,P0652,4,Good value for money.,2024-10-28,Positive
R00007,CUST4992,P0082,5,Very satisfied with the purchase.,2025-01-18,Positive
R00008,CUST1796,P0605,5,Works as expected.,2025-04-16,Positive
R00009,CUST0624,P1594,4,Good value for money.,2025-08-04,Positive
R00010,CUST1354,P1480,4,Good value for money.,2025-11-03,Positive
R00011,CUST0546,P1476,4,Good value for money.,2024-12-05,Positive
R00012,CUST3961,P1432,4,"Excellent product, highly recommended!",2024-11-28,Positive
R00013,CUST2649,P1068,5,Very satisfied with the purchase.,2025-06-09,Positive
R00014,CUST3390,P0526,2,Disappointed with the build quality.,2024-06-18,Negative
R00015,CUST0300,P1029,4,Good value for money.,2024-07-04,Positive
R00016,CUST0103,P1546,4,Quality is great for the price.,2024-04-24,Positive
R00017,CUST4561,P1502,3,It's fine but could be better.,2025-06-29,Neutral
R00018,CUST0443,P0555,5,Works as expected.,2022-07-29,Positive
R00019,CUST3609,P1221,4,"Excellent product, highly recommended!",2024-10-04,Positive
R00020,CUST4579,P0561,5,"Excellent product, highly recommended!",2025-08-31,Positive
R00021,CUST0887,P1177,5,Very satisfied with the purchase.,2024-09-20,Positive
R00022,CUST0090,P0208,4,Very satisfied with the purchase.,2025-09-09,Positive
R00023,CUST3252,P1294,4,Quality is great for the price.,2024-03-07,Positive
R00024,CUST4467,P1374,3,"Average quality, meets expectations.",2025-10-05,Neutral
R00025,CUST3223,P1399,3,"Product is okay, nothing special.",2025-09-26,Neutral
R00026,CUST4783,P1273,5,"Excellent product, highly recommended!",2024-05-09,Positive
R00027,CUST0341,P0490,4,Good value for money.,2025-08-12,Positive
R00028,CUST0772,P1475,4,Quality is great for the price.,2022-11-17,Positive
R00029,CUST1328,P0869,1,Not worth the money.,2022-12-24,Negative
R00030,CUST0346,P1566,5,Good value for money.,2025-10-12,Positive
R00031,CUST2756,P0504,5,Very satisfied with the purchase.,2025-10-26,Positive
R00032,CUST4289,P0623,4,Very satisfied with the purchase.,2025-09-25,Positive
R00033,CUST4893,P1098,5,"Excellent product, highly recommended!",2023-05-24,Positive
R00034,CUST0284,P0278,5,Works as expected.,2025-01-02,Positive
R00035,CUST1465,P0717,4,Good value for money.,2025-11-07,Positive
R00036,CUST1368,P1772,5,Quality is great for the price.,2023-11-09,Positive
R00037,CUST0147,P1217,5,Works as expected.,2023-11-08,Positive
R00038,CUST3714,P1662,5,Good value for money.,2024-02-05,Positive
R00039,CUST0963,P0519,5,Works as expected.,2024-06-05,Positive
R00040,CUST3570,P1773,2,Disappointed with the build quality.,2024-11-06,Negative
R00041,CUST4964,P0777,5,Works as expected.,2025-09-08,Positive
R00042,CUST2490,P1025,4,Very satisfied with the purchase.,2024-05-30,Positive
R00043,CUST0322,P1349,3,It's fine but could be better.,2025-02-10,Neutral
R00044,CUST1512,P0664,5,Good value for money.,2025-08-27,Positive
R00045,CUST4427,P0591,4,Good value for money.,2025-08-25,Positive
R00046,CUST4757,P0726,4,"Excellent product, highly recommended!",2025-06-06,Positive
R00047,CUST0650,P0424,5,"Excellent product, highly recommended!",2024-08-23,Positive
R00048,CUST0107,P1813,3,"Product is okay, nothing special.",2021-07-16,Neutral
R00049,CUST2572,P1180,3,"Product is okay, nothing special.",2025-06-21,Neutral
R00050,CUST4623,P0305,4,Quality is great for the price.,2023-07-27,Positive
R00051,CUST0897,P1219,2,Disappointed with the build quality.,2023-01-24,Negative
R00052,CUST2731,P0826,5,"Excellent product, highly recommended!",2025-06-09,Positive
R00053,CUST4593,P1451,4,Very satisfied with the purchase.,2024-08-21,Positive
R00054,CUST1783,P0338,4,Very satisfied with the purchase.,2024-08-15,Positive
R00055,CUST4954,P0032,5,Works as expected.,2025-08-24,Positive
R00056,CUST1265,P0375,5,Very satisfied with the purchase.,2023-07-08,Positive
R00057,CUST4647,P1605,5,Good value for money.,2025-10-05,Positive
R00058,CUST2809,P0893,2,Poor customer service experience.,2025-05-19,Negative
R00059,CUST2902,P1256,5,Good value for money.,2024-03-15,Positive
R00060,CUST1920,P1603,3,Decent product for the price.,2022-01-04,Neutral
R00061,CUST1451,P1496,5,"Excellent product, highly recommended!",2024-03-24,Positive
R00062,CUST3339,P1801,2,Poor customer service experience.,2025-10-07,Negative
R00063,CUST1061,P0771,4,"Excellent product, highly recommended!",2022-03-18,Positive
R00064,CUST4616,P0361,5,Quality is great for the price.,2021-12-11,Positive
R00065,CUST2874,P0542,2,Stopped working after a week.,2021-02-05,Negative
R00066,CUST2583,P1733,4,Quality is great for the price.,2025-07-10,Positive
R00067,CUST2946,P0020,4,Very satisfied with the purchase.,2024-01-25,Positive
R00068,CUST3698,P0278,5,Quality is great for the price.,2024-07-13,Positive
R00069,CUST0759,P1143,1,Not worth the money.,2025-11-02,Negative
R00070,CUST0750,P0833,5,Very satisfied with the purchase.,2023-10-19,Positive
R00071,CUST1078,P0576,4,Good value for money.,2022-02-17,Positive
R00072,CUST2473,P1862,5,Quality is great for the price.,2025-05-25,Positive
R00073,CUST1371,P0626,5,Quality is great for the price.,2025-06-02,Positive
R00074,CUST1979,P1625,4,Very satisfied with the purchase.,2025-08-17,Positive
R00075,CUST2998,P0161,4,Quality is great for the price.,2025-09-04,Positive
R00076,CUST2610,P0020,4,Good value for money.,2025-09-14,Positive
R00077,CUST4256,P1446,5,Works as expected.,2022-10-09,Positive
R00078,CUST4642,P0597,2,Not worth the money.,2025-11-13,Negative
R00079,CUST2993,P0471,5,Very satisfied with the purchase.,2022-09-09,Positive
R00080,CUST2452,P1009,1,Disappointed with the build quality.,2025-05-26,Negative
R00081,CUST3489,P1932,3,Decent product for the price.,2025-10-08,Neutral
R00082,CUST0173,P0121,5,"Excellent product, highly recommended!",2025-10-11,Positive
R00083,CUST0431,P0711,4,Good value for money.,2024-11-30,Positive
R00084,CUST2156,P1094,3,"Average quality, meets expectations.",2025-09-11,Neutral
R00085,CUST2550,P1366,4,Very satisfied with the purchase.,2022-03-21,Positive
R00086,CUST1917,P0972,4,"Excellent product, highly recommended!",2025-09-01,Positive
R00087,CUST4502,P1031,5,Quality is great for the price.,2023-10-03,Positive
R00088,CUST0924,P1733,5,Works as expected.,2025-09-03,Positive
R00089,CUST3981,P0433,4,Works as expected.,2025-04-05,Positive
R00090,CUST1627,P1061,4,"Excellent product, highly recommended!",2022-12-04,Positive
R00091,CUST3813,P0917,5,Very satisfied with the purchase.,2023-08-11,Positive
R00092,CUST4319,P1931,5,Very satisfied with the purchase.,2025-07-08,Positive
R00093,CUST0839,P1141,5,Good value for money.,2024-04-09,Positive
R00094,CUST0722,P1876,5,Good value for money.,2025-10-21,Positive
R00095,CUST2839,P0392,3,"Product is okay, nothing special.",2025-02-15,Neutral
R00096,CUST0670,P1661,2,Not worth the money.,2023-07-02,Negative
R00097,CUST0254,P0904,2,Not worth the money.,2024-07-30,Negative
R00098,CUST4612,P1307,4,"Excellent product, highly recommended!",2025-09-08,Positive
R00099,CUST4506,P0764,5,Works as expected.,2025-04-28,Positive
R00100,CUST2776,P0661,5,Good value for money.,2025-11-12,Positive
R00101,CUST2920,P0951,5,"Excellent product, highly recommended!",2025-05-30,Positive
R00102,CUST0936,P0545,3,"Average quality, meets expectations.",2025-01-24,Neutral
R00103,CUST4247,P0896,5,Works as expected.,2021-01-31,Positive
R00104,CUST2712,P0695,5,Works as expected.,2022-11-29,Positive
R00105,CUST1513,P0161,2,Disappointed with the build quality.,2025-10-23,Negative
R00106,CUST1733,P0755,5,"Excellent product, highly recommended!",2020-01-17,Positive
R00107,CUST1497,P1666,4,Works as expected.,2025-09-07,Positive
R00108,CUST0645,P0054,3,It's fine but could be better.,2024-06-05,Neutral
R00109,CUST1874,P0364,4,"Excellent product, highly recommended!",2023-07-30,Positive
R00110,CUST3314,P1636,2,Not worth the money.,2025-10-25,Negative
R00111,CUST2708,P0129,3,Decent product for the price.,2024-08-13,Neutral
R00112,CUST3198,P1779,5,"Excellent product, highly recommended!",2023-10-09,Positive
R00113,CUST3368,P1609,3,It's fine but could be better.,2023-02-20,Neutral
R00114,CUST3482,P1113,5,"Excellent product, highly recommended!",2024-04-14,Positive
R00115,CUST4147,P1337,4,Very satisfied with the purchase.,2025-09-12,Positive
R00116,CUST1940,P1894,3,It's fine but could be better.,2022-11-13,Neutral
R00117,CUST4872,P1385,5,Works as expected.,2023-01-28,Positive
R00118,CUST1159,P0749,3,"Average quality, meets expectations.",2025-06-22,Neutral
R00119,CUST4215,P0480,5,"Excellent product, highly recommended!",2025-07-04,Positive
R00120,CUST4075,P1160,3,"Average quality, meets expectations.",2025-08-02,Neutral
R00121,CUST0652,P0545,5,Good value for money.,2025-07-23,Positive
R00122,CUST4177,P1613,2,Stopped working after a week.,2025-08-05,Negative
R00123,CUST4367,P1484,4,"Excellent product, highly recommended!",2023-10-03,Positive
R00124,CUST2945,P1422,3,"Product is okay, nothing special.",2025-06-18,Neutral
R00125,CUST0492,P1281,4,Quality is great for the price.,2021-03-19,Positive
R00126,CUST2280,P1232,5,Very satisfied with the purchase.,2024-11-12,Positive
R00127,CUST2293,P0436,5,Works as expected.,2025-03-12,Positive
R00128,CUST4378,P0413,4,Good value for money.,2023-12-22,Positive
R00129,CUST0118,P1617,1,Not worth the money.,2022-10-29,Negative
R00130,CUST2217,P0457,5,Works as expected.,2025-09-26,Positive
R00131,CUST4194,P0123,5,Works as expected.,2025-09-02,Positive
R00132,CUST0695,P0147,5,Quality is great for the price.,2024-03-03,Positive
R00133,CUST2121,P1003,4,Works as expected.,2020-10-25,Positive
R00134,CUST0815,P1182,4,Good value for money.,2025-07-26,Positive
R00135,CUST4790,P1154,4,Works as expected.,2025-04-02,Positive
R00136,CUST3192,P0573,5,Good value for money.,2025-10-09,Positive
R00137,CUST3567,P0830,5,Very satisfied with the purchase.,2022-08-26,Positive
R00138,CUST2993,P0394,4,Very satisfied with the purchase.,2023-10-14,Positive
R00139,CUST1631,P1935,5,Works as expected.,2022-04-03,Positive
R00140,CUST2303,P1367,4,"Excellent product, highly recommended!",2023-07-03,Positive
R00141,CUST3681,P0688,4,Quality is great for the price.,2024-07-07,Positive
R00142,CUST0942,P0976,5,Very satisfied with the purchase.,2025-05-07,Positive
R00143,CUST4776,P0418,4,"Excellent product, highly recommended!",2025-05-08,Positive
R00144,CUST0777,P1539,5,Works as expected.,2025-09-29,Positive
R00145,CUST4048,P0860,5,"Excellent product, highly recommended!",2023-02-23,Positive
R00146,CUST3831,P1487,4,Very satisfied with the purchase.,2024-12-28,Positive
R00147,CUST4084,P1897,5,Quality is great for the price.,2025-10-02,Positive
R00148,CUST1633,P1640,4,Quality is great for the price.,2024-07-29,Positive
R00149,CUST0857,P0534,5,"Excellent product, highly recommended!",2025-07-22,Positive
R00150,CUST4764,P1239,4,Quality is great for the price.,2025-07-16,Positive
R00151,CUST2294,P1542,5,Works as expected.,2025-10-16,Positive
R00152,CUST2719,P0296,4,Quality is great for the price.,2025-10-27,Positive
R00153,CUST0154,P0181,5,Good value for money.,2025-10-21,Positive
R00154,CUST1752,P0642,4,Quality is great for the price.,2024-12-05,Positive
R00155,CUST3740,P0497,4,Good value for money.,2024-04-02,Positive
R00156,CUST0149,P0507,1,Poor customer service experience.,2025-05-28,Negative
R00157,CUST3979,P1620,5,"Excellent product, highly recommended!",2025-03-05,Positive
R00158,CUST3990,P0636,3,"Average quality, meets expectations.",2024-02-06,Neutral
R00159,CUST1491,P1303,3,"Average quality, meets expectations.",2025-07-27,Neutral
R00160,CUST3882,P0742,2,Stopped working after a week.,2025-09-05,Negative
