product_id,product_name,category,brand,price,stock_quantity,rating,added_date
P0001,Smart SofaCover 197,Home,ComfortLiving,8225.62,166,4.0,2024-07-10
P0002,Smart Smartwatch 111,Electronics,PixelPro,14937.54,1940,4.73,2025-04-06
P0003,Mini Table 203,Home,CasaPro,10446.26,398,3.65,2022-12-16
P0004,Smart Dress 992,Fashion,SilkRoute,5053.63,978,4.6,2019-10-27
P0005,Ultra FaceWash 669,Beauty,VelvetTouch,1184.51,1414,4.67,2021-01-12
P0006,Prime Moisturizer 765,Beauty,LuxeCare,2075.06,651,3.98,2020-01-18
P0007,Smart Dress 541,Fashion,UrbanWear,3131.04,1368,4.34,2021-07-31
P0008,Pro Dumbbell 160,Sports,PeakGear,5181.06,277,3.3,2020-09-09
P0009,Ultra Handbag 449,Fashion,UrbanWear,3716.58,1732,3.23,2025-07-14
P0010,Classic Perfume 980,Beauty,GlowMist,797.88,100,4.55,2023-09-26
P0011,Smart PowerBank 904,Electronics,ElectroMax,5545.0,1630,4.49,2019-06-24
P0012,Prime WaterBottle 611,Sports,FitFlex,2332.2,666,3.62,2025-05-07
P0013,Mini Blender 704,Home,CasaPro,4590.39,269,4.31,2024-02-14
P0014,Mini Lamp 708,Home,ComfortLiving,9268.17,997,3.61,2025-10-27
P0015,Ultra Vacuum 781,Home,CasaPro,9018.12,1858,3.89,2022-07-19
P0016,Ultra Jacket 515,Fashion,VogueLane,2903.61,1921,4.57,2022-03-16
P0017,Classic Mask 510,Beauty,LuxeCare,1061.87,29,3.42,2023-05-06
P0018,Mini Jacket 186,Fashion,VogueLane,1870.81,388,3.69,2024-11-08
P0019,Mini Dress 708,Fashion,Trendify,5368.14,775,3.45,2024-07-31
P0020,Smart Serum 164,Beauty,PureBloom,508.52,660,3.44,2021-01-04
P0021,Pro Sneakers 947,Fashion,Trendify,5438.66,632,4.16,2019-09-14
P0022,Smart Lipstick 969,Beauty,LuxeCare,869.02,407,4.43,2021-02-10
P0023,Ultra Charger 523,Electronics,ElectroMax,1017.01,259,4.36,2020-05-21
P0024,Smart Speaker 999,Electronics,ElectroMax,13891.68,1861,4.32,2019-11-04
P0025,Classic Lamp 624,Home,CasaPro,10603.36,1709,3.97,2025-02-06
P0026,Smart Jeans 198,Fashion,Trendify,2721.98,1158,4.58,2024-10-18
P0027,Smart Tablet 115,Electronics,ElectroMax,23811.48,704,4.79,2024-10-28
P0028,Pro TennisRacket 440,Sports,Endura,9373.31,854,3.54,2022-05-15
P0029,Classic Dumbbell 300,Sports,PeakGear,3413.13,262,4.22,2021-04-09
P0030,Smart Lamp 639,Home,CasaPro,6775.03,748,3.57,2024-11-29
P0031,Mini Jeans 107,Fashion,VogueLane,2127.01,263,4.06,2024-07-21
P0032,Prime Table 947,Home,ComfortLiving,7873.81,1400,4.55,2021-05-31
P0033,Ultra FaceWash 294,Beauty,AuraSkin,1149.1,984,4.55,2019-12-03
P0034,Pro Blender 750,Home,ComfortLiving,4618.46,1614,4.59,2023-04-14
P0035,Prime Lamp 419,Home,ComfortLiving,1149.78,250,4.29,2023-01-24
P0036,Pro Sneakers 904,Fashion,SilkRoute,2224.78,1536,3.27,2021-04-23
P0037,Ultra Cooker 714,Home,HomeEssence,10543.67,1283,3.31,2024-12-13
P0038,Smart CyclingHelmet 624,Sports,PeakGear,1386.75,1209,3.45,2025-10-22
P0039,Mini Lamp 324,Home,HomeEssence,3672.98,240,3.46,2021-02-01
P0040,Ultra Sneakers 670,Fashion,VogueLane,6050.0,1498,4.71,2024-11-21
P0041,Classic Jacket 417,Fashion,StyleHub,3982.63,841,4.58,2022-12-17
P0042,Smart Mask 560,Beauty,GlowMist,2118.88,1980,3.49,2025-01-15
P0043,Classic Jeans 979,Fashion,UrbanWear,2256.44,901,3.41,2021-12-06
P0044,Pro Jeans 970,Fashion,VogueLane,1844.37,340,4.26,2019-05-31
P0045,Prime Perfume 133,Beauty,VelvetTouch,356.44,541,3.53,2022-10-24
P0046,Classic WaterBottle 193,Sports,Sportify,3432.32,1980,3.62,2020-04-29
P0047,Prime Speaker 578,Electronics,PixelPro,12955.92,461,4.46,2021-10-30
P0048,Smart TennisRacket 520,Sports,FitFlex,8646.7,1453,3.8,2021-11-22
P0049,Classic Jeans 611,Fashion,UrbanWear,1602.51,806,3.74,2024-07-26
P0050,Mini Jacket 537,Fashion,StyleHub,2751.35,427,4.53,2022-06-18
P0051,Ultra Smartwatch 174,Electronics,PixelPro,13152.94,1637,3.68,2023-11-06
P0052,Pro Serum 722,Beauty,LuxeCare,872.12,192,3.32,2021-07-06
P0053,Ultra RunningShoes 638,Sports,FitFlex,8970.28,320,4.41,2021-12-07
P0054,Smart YogaMat 102,Sports,PeakGear,4258.55,1686,3.6,2024-02-29
P0055,Ultra TennisRacket 919,Sports,FitFlex,4658.83,1888,3.24,2024-02-04
P0056,Mini CyclingHelmet 782,Sports,PeakGear,3059.88,371,4.42,2024-02-20
P0057,Ultra Jeans 790,Fashion,StyleHub,1908.75,546,4.66,2024-04-04
P0058,Ultra Tablet 554,Electronics,NovaTech,14015.73,631,4.28,2020-01-28
P0059,Pro Mask 927,Beauty,VelvetTouch,2119.07,832,4.01,2025-01-04
P0060,Smart YogaMat 874,Sports,Endura,5792.94,980,4.58,2025-08-18
P0061,Prime Vacuum 975,Home,HomeEssence,6838.69,1719,3.99,2023-10-04
P0062,Mini Cooker 853,Home,Hearthstone,10377.28,542,4.76,2019-11-17
P0063,Prime Table 344,Home,ComfortLiving,3977.77,518,3.24,2023-02-02
P0064,Mini Jeans 714,Fashion,StyleHub,3140.13,1799,3.56,2021-11-25
P0065,Pro Lamp 924,Home,CasaPro,11746.03,767,3.57,2021-06-03
P0066,Ultra Jacket 694,Fashion,VogueLane,5020.53,1074,3.27,2022-02-07
P0067,Pro PowerBank 314,Electronics,PixelPro,1813.26,361,4.5,2021-11-20
P0068,Smart Headphones 921,Electronics,NovaTech,16231.49,884,3.53,2022-04-08
P0069,Ultra Mask 537,Beauty,VelvetTouch,2567.3,507,3.55,2020-07-13
P0070,Classic FaceWash 585,Beauty,LuxeCare,241.29,1675,4.51,2019-08-07
P0071,Pro Tablet 600,Electronics,SoundWave,7814.1,612,4.76,2021-12-10
P0072,Mini WaterBottle 749,Sports,Endura,409.58,515,3.54,2022-08-09
P0073,Ultra Mask 584,Beauty,PureBloom,2608.06,1573,4.23,2021-01-21
P0074,Pro Perfume 129,Beauty,GlowMist,1156.16,1303,4.55,2025-01-28
P0075,Classic Speaker 344,Electronics,Voltix,15701.57,945,3.61,2025-09-16
P0076,Ultra TennisRacket 204,Sports,PeakGear,3974.54,18,3.74,2024-08-30
P0077,Classic Headphones 876,Electronics,PixelPro,1350.79,875,3.63,2024-07-24
P0078,Classic Speaker 879,Electronics,PixelPro,9883.12,21,3.56,2024-10-20
P0079,Pro Lamp 986,Home,Nestoria,9689.02,981,3.5,2019-08-25
P0080,Pro YogaMat 987,Sports,FitFlex,8289.42,524,3.59,2019-12-05
P0081,Prime FaceWash 433,Beauty,VelvetTouch,594.1,1150,4.25,2022-07-16
P0082,Smart Dumbbell 290,Sports,ProActive,384.7,700,3.45,2019-08-10
P0083,Pro Speaker 953,Electronics,NovaTech,17962.91,401,3.55,2025-09-25
P0084,Ultra Jacket 461,Fashion,SilkRoute,269.25,723,3.64,2019-09-04
P0085,Pro Jeans 126,Fashion,StyleHub,5954.19,668,3.21,2022-04-11
P0086,Smart Handbag 644,Fashion,SilkRoute,429.88,1860,3.29,2024-12-04
P0087,Classic Speaker 157,Electronics,SoundWave,18851.96,908,4.41,2024-06-11
P0088,Pro WaterBottle 930,Sports,Endura,5542.25,1077,4.53,2023-03-15
P0089,Pro PowerBank 248,Electronics,ElectroMax,20475.53,1201,3.77,2020-02-08
P0090,Pro RunningShoes 473,Sports,Sportify,5058.34,1853,3.74,2019-06-18
P0091,Classic T-Shirt 688,Fashion,UrbanWear,4623.5,928,3.82,2022-10-18
P0092,Classic Smartwatch 388,Electronics,NovaTech,12726.3,1340,3.61,2023-07-26
P0093,Pro Cooker 127,Home,CasaPro,8505.65,1638,4.44,2021-05-11
P0094,Classic SofaCover 179,Home,ComfortLiving,10798.39,614,3.92,2024-01-26
P0095,Ultra Lipstick 688,Beauty,VelvetTouch,381.44,1743,3.66,2025-07-31
P0096,Classic Jacket 730,Fashion,StyleHub,3065.34,582,4.08,2022-06-25
P0097,Mini RunningShoes 836,Sports,Endura,6007.21,1349,4.55,2020-04-25
P0098,Ultra Dress 326,Fashion,Trendify,491.06,1620,3.23,2022-05-18
P0099,Pro PowerBank 251,Electronics,Voltix,13368.73,231,4.31,2021-04-07
P0100,Mini Table 938,Home,CasaPro,11633.58,728,4.2,2022-10-09
P0101,Pro Blender 534,Home,Nestoria,10706.17,990,4.32,2023-08-26
P0102,Smart FaceWash 940,Beauty,AuraSkin,2079.08,1029,3.87,2019-07-28
P0103,Smart Lamp 190,Home,HomeEssence,6914.98,1185,3.93,2021-08-06
P0104,Classic Jacket 147,Fashion,StyleHub,3464.37,1072,4.12,2024-10-21
P0105,Ultra TennisRacket 795,Sports,PeakGear,5450.88,190,3.37,2021-04-18
P0106,Pro Jacket 391,Fashion,UrbanWear,3121.04,1168,3.89,2024-08-09
P0107,Pro YogaMat 781,Sports,FitFlex,1942.18,1949,3.3,2024-12-20
P0108,Classic RunningShoes 390,Sports,ProActive,6984.99,508,4.4,2022-01-23
P0109,Classic Jeans 406,Fashion,UrbanWear,727.52,569,3.44,2023-08-19
P0110,Smart Cooker 574,Home,ComfortLiving,10583.31,832,3.58,2025-08-29
P0111,Smart Table 809,Home,Hearthstone,10512.17,1078,3.91,2019-12-28
P0112,Mini SofaCover 322,Home,ComfortLiving,8811.06,895,3.85,2020-08-13
P0113,Ultra T-Shirt 256,Fashion,VogueLane,4659.04,768,3.63,2025-08-10
P0114,Mini Mask 927,Beauty,VelvetTouch,2127.38,1600,4.47,2021-09-22
P0115,Mini Dress 602,Fashion,Trendify,5251.54,552,3.29,2023-05-04
P0116,Classic PowerBank 603,Electronics,Voltix,16801.24,1901,3.62,2022-09-12
P0117,Mini Table 919,Home,Hearthstone,11210.15,1619,4.77,2024-02-29
P0118,Classic TennisRacket 102,Sports,Endura,8990.72,980,4.24,2021-12-05
